Número de póliza,Fecha de inicio,Fecha de vencimiento,Tipo de cobertura,Modelo del coche,Año del coche,Valor asegurado,Deducible,Estado del seguro,Gastos médicos,Daños a terceros
P0000027,2022-05-31,2023-05-31,Responsabilidad civil,Volkswagen Jetta,2016,31465,500,Al día,1,1
P0000028,2023-10-10,2024-10-09,Cobertura total,Ford Focus,2021,25588,600,Al día,1,0
P0000029,2021-02-22,2022-02-22,Cobertura de robo,Toyota Corolla,2015,22318,700,Vencido,1,1
P0000030,2021-01-14,2022-01-14,Cobertura total,Mazda 3,2014,28141,700,Al día,1,0
P0000031,2024-04-05,2025-04-05,Cobertura de colisión,Volkswagen Jetta,2013,35669,600,Al día,1,1
P0000032,2021-01-31,2022-01-31,Cobertura amplia,Mazda 3,2015,27303,500,Vencido,1,0
P0000033,2024-01-10,2025-01-09,Cobertura amplia,Mazda 3,2012,10758,700,Vencido,1,1
P0000034,2023-11-09,2024-11-08,Cobertura de robo,Honda Civic,2019,13602,700,Al día,0,0
P0000035,2022-12-19,2023-12-19,Cobertura de colisión,Toyota Corolla,2018,39366,700,Al día,0,0
P0000036,2020-06-26,2021-06-26,Responsabilidad civil,Honda Civic,2015,11770,600,Al día,0,0
P0000037,2025-02-24,2026-02-24,Cobertura total,Ford Focus,2017,10894,600,Al día,1,1
P0000038,2021-05-26,2022-05-26,Cobertura de robo,Mazda 3,2020,28642,500,Vencido,1,1
P0000039,2024-03-30,2025-03-30,Cobertura de colisión,Toyota Corolla,2022,18246,500,Vencido,1,1
P0000040,2020-11-18,2021-11-18,Responsabilidad civil,Subaru Impreza,2016,33193,600,Al día,0,0
P0000041,2023-04-15,2024-04-14,Responsabilidad civil,Mazda 3,2012,22450,700,Al día,0,1
P0000042,2024-01-21,2025-01-20,Cobertura amplia,Hyundai Elantra,2010,28096,500,Vencido,1,1
P0000043,2022-02-26,2023-02-26,Cobertura total,Toyota Corolla,2011,15896,500,Vencido,0,0
P0000044,2020-10-11,2021-10-11,Cobertura de robo,Toyota Corolla,2021,14719,700,Al día,1,1
P0000045,2020-07-06,2021-07-06,Cobertura amplia,Volkswagen Jetta,2022,42817,600,Vencido,1,0
P0000046,2022-07-22,2023-07-22,Responsabilidad civil,Mazda 3,2014,34070,700,Vencido,1,0
P0000047,2023-03-31,2024-03-30,Responsabilidad civil,Toyota Corolla,2019,22165,500,Vencido,1,1
P0000048,2020-11-22,2021-11-22,Cobertura amplia,Honda Civic,2021,40147,500,Al día,0,1
P0000049,2022-08-11,2023-08-11,Cobertura amplia,Subaru Impreza,2015,17180,500,Al día,0,0
P0000050,2021-02-17,2022-02-17,Cobertura de robo,Volkswagen Jetta,2018,42357,500,Al día,0,1
P0000051,2024-04-05,2025-04-05,Responsabilidad civil,Toyota Corolla,2011,21776,500,Al día,0,1
P0000052,2023-02-12,2024-02-12,Cobertura amplia,Honda Civic,2020,41846,600,Vencido,0,0
P0000053,2025-01-31,2026-01-31,Cobertura de robo,Toyota Corolla,2013,49050,500,Al día,1,1
P0000054,2024-02-03,2025-02-02,Responsabilidad civil,Toyota Corolla,2013,15443,500,Vencido,1,0
P0000055,2021-10-28,2022-10-28,Cobertura total,Honda Civic,2017,11659,500,Vencido,1,0
P0000056,2024-02-25,2025-02-24,Cobertura de robo,Toyota Corolla,2013,35555,500,Al día,0,0
P0000057,2023-12-26,2024-12-25,Responsabilidad civil,Honda Civic,2015,49705,600,Vencido,0,1
P0000058,2022-05-08,2023-05-08,Cobertura de robo,Nissan Sentra,2021,20737,700,Al día,1,1
P0000059,2022-12-29,2023-12-29,Cobertura amplia,Subaru Impreza,2013,48094,600,Al día,0,1
P0000060,2020-10-19,2021-10-19,Responsabilidad civil,Toyota Corolla,2014,41037,500,Vencido,0,0
P0000061,2021-12-01,2022-12-01,Responsabilidad civil,Mazda 3,2022,10664,700,Al día,1,1
P0000062,2025-12-27,2026-12-27,Responsabilidad civil,Toyota Corolla,2016,35754,600,Vencido,0,0
P0000063,2022-09-29,2023-09-29,Cobertura de colisión,Toyota Corolla,2015,25002,500,Vencido,0,1
P0000064,2021-10-31,2022-10-31,Responsabilidad civil,Honda Civic,2010,27287,600,Al día,1,0
P0000065,2025-03-08,2026-03-08,Cobertura amplia,Toyota Corolla,2012,38485,600,Vencido,1,0
P0000066,2024-04-03,2025-04-03,Cobertura total,Volkswagen Jetta,2017,38635,700,Vencido,1,0
P0000067,2023-01-10,2024-01-10,Cobertura total,Honda Civic,2015,41188,700,Al día,0,0
P0000068,2022-06-18,2023-06-18,Cobertura de colisión,Nissan Sentra,2015,41740,500,Vencido,0,1
P0000069,2023-08-21,2024-08-20,Cobertura de colisión,Volkswagen Jetta,2011,42531,500,Vencido,1,1
P0000070,2020-08-17,2021-08-17,Cobertura total,Nissan Sentra,2016,31837,700,Al día,1,0
P0000071,2022-07-27,2023-07-27,Cobertura amplia,Honda Civic,2018,39883,700,Vencido,1,0
P0000072,2020-05-11,2021-05-11,Cobertura amplia,Toyota Corolla,2016,23510,600,Al día,0,1
P0000073,2023-07-16,2024-07-15,Cobertura amplia,Toyota Corolla,2020,11413,500,Vencido,0,1
P0000074,2024-07-01,2025-07-01,Cobertura de robo,Mazda 3,2014,49654,700,Al día,0,1
P0000075,2023-01-01,2024-01-01,Cobertura total,Chevrolet Cruze,2015,14299,700,Al día,0,1
P0000076,2020-09-28,2021-09-28,Cobertura amplia,Toyota Corolla,2018,20485,500,Al día,1,0
P0000077,2022-05-14,2023-05-14,Cobertura total,Ford Focus,2010,29339,700,Al día,0,0
P0000078,2023-07-12,2024-07-11,Cobertura total,Toyota Corolla,2022,28535,500,Al día,1,0
P0000079,2022-05-20,2023-05-20,Cobertura de robo,Honda Civic,2010,30616,600,Al día,0,0
P0000080,2025-08-06,2026-08-06,Cobertura amplia,Hyundai Elantra,2013,34830,700,Al día,1,0
P0000081,2024-06-08,2025-06-08,Cobertura amplia,Kia Forte,2013,48841,700,Vencido,0,0
P0000082,2025-02-22,2026-02-22,Cobertura amplia,Volkswagen Jetta,2015,49906,700,Vencido,0,0
P0000083,2021-08-08,2022-08-08,Cobertura de robo,Toyota Corolla,2022,46172,600,Vencido,0,1
P0000084,2022-12-20,2023-12-20,Cobertura total,Hyundai Elantra,2019,36535,500,Vencido,0,0
P0000085,2021-07-25,2022-07-25,Cobertura total,Ford Focus,2020,46739,600,Vencido,1,0
P0000086,2022-10-07,2023-10-07,Cobertura total,Honda Civic,2010,25759,500,Al día,1,0
P0000087,2022-12-12,2023-12-12,Cobertura amplia,Ford Focus,2011,11356,600,Al día,0,0
P0000088,2024-10-20,2025-10-20,Cobertura amplia,Honda Civic,2013,25264,500,Vencido,1,0
P0000089,2024-06-23,2025-06-23,Cobertura de robo,Toyota Corolla,2018,13476,600,Al día,0,1
P0000090,2024-01-22,2025-01-21,Cobertura total,Nissan Sentra,2013,18463,600,Vencido,1,0
P0000091,2022-06-17,2023-06-17,Cobertura de robo,Toyota Corolla,2011,12855,700,Al día,0,0
P0000092,2021-07-20,2022-07-20,Cobertura total,Toyota Corolla,2021,12412,600,Al día,0,0
P0000093,2025-09-18,2026-09-18,Cobertura total,Chevrolet Cruze,2010,16892,600,Al día,1,1
P0000094,2025-07-14,2026-07-14,Responsabilidad civil,Hyundai Elantra,2021,31869,700,Al día,1,0
P0000095,2021-01-07,2022-01-07,Cobertura total,Toyota Corolla,2014,33123,600,Al día,0,1
P0000096,2020-07-11,2021-07-11,Cobertura de colisión,Volkswagen Jetta,2011,35198,700,Al día,0,1
P0000097,2021-03-25,2022-03-25,Cobertura amplia,Honda Civic,2017,13723,700,Al día,1,1
P0000098,2021-09-18,2022-09-18,Cobertura de robo,Ford Focus,2021,49234,600,Al día,1,1
P0000099,2021-10-17,2022-10-17,Cobertura de colisión,Hyundai Elantra,2013,14350,700,Al día,0,1
P00000100,2024-09-25,2025-09-25,Cobertura total,Kia Forte,2012,31571,600,Al día,1,1
P00000101,2020-09-17,2021-09-17,Cobertura total,Volkswagen Jetta,2012,22211,600,Al día,0,1
P00000102,2024-04-25,2025-04-25,Cobertura amplia,Ford Focus,2013,12143,700,Vencido,1,0
P00000103,2024-04-12,2025-04-12,Cobertura de robo,Chevrolet Cruze,2019,36373,700,Al día,1,1
P00000104,2025-04-01,2026-04-01,Responsabilidad civil,Mazda 3,2015,18468,600,Al día,1,0
P00000105,2025-12-07,2026-12-07,Cobertura de robo,Toyota Corolla,2013,13650,500,Al día,1,1
P00000106,2022-10-26,2023-10-26,Cobertura de robo,Toyota Corolla,2014,12378,500,Vencido,1,0
P00000107,2020-02-17,2021-02-16,Cobertura de colisión,Chevrolet Cruze,2021,36922,600,Vencido,1,0
P00000108,2021-04-14,2022-04-14,Cobertura de colisión,Mazda 3,2022,25647,700,Vencido,1,0
P00000109,2022-12-28,2023-12-28,Cobertura de colisión,Ford Focus,2022,28986,600,Al día,1,1
P00000110,2023-10-25,2024-10-24,Responsabilidad civil,Volkswagen Jetta,2017,13309,600,Al día,0,0
P00000111,2021-04-01,2022-04-01,Cobertura total,Nissan Sentra,2012,40004,700,Vencido,1,1
P00000112,2023-04-17,2024-04-16,Responsabilidad civil,Toyota Corolla,2016,19344,700,Vencido,1,0
P00000113,2024-11-15,2025-11-15,Cobertura total,Subaru Impreza,2019,38178,700,Vencido,1,1
P00000114,2021-10-09,2022-10-09,Cobertura de colisión,Mazda 3,2011,20218,500,Al día,1,0
P00000115,2025-02-01,2026-02-01,Responsabilidad civil,Honda Civic,2016,26423,600,Al día,0,1
P00000116,2020-01-14,2021-01-13,Responsabilidad civil,Volkswagen Jetta,2020,20106,700,Al día,0,0
P00000117,2022-12-14,2023-12-14,Responsabilidad civil,Nissan Sentra,2017,29570,500,Al día,0,0
P00000118,2025-08-12,2026-08-12,Cobertura de robo,Honda Civic,2011,20169,500,Vencido,0,0
P00000119,2022-01-01,2023-01-01,Cobertura de robo,Nissan Sentra,2015,18448,600,Vencido,1,1
P00000120,2025-09-10,2026-09-10,Cobertura total,Toyota Corolla,2017,33788,500,Al día,0,1
P00000121,2021-03-11,2022-03-11,Cobertura amplia,Nissan Sentra,2017,45285,700,Al día,1,0
P00000122,2023-05-07,2024-05-06,Cobertura de robo,Honda Civic,2011,23350,600,Vencido,0,1
P00000123,2025-09-10,2026-09-10,Cobertura de colisión,Hyundai Elantra,2021,11434,500,Vencido,0,1
P00000124,2022-03-25,2023-03-25,Cobertura amplia,Mazda 3,2014,46885,600,Vencido,0,0
P00000125,2021-09-18,2022-09-18,Cobertura de robo,Honda Civic,2010,20882,500,Vencido,1,1
P00000126,2024-03-11,2025-03-11,Cobertura total,Honda Civic,2010,35454,500,Al día,0,0
P00000127,2021-10-23,2022-10-23,Cobertura de colisión,Toyota Corolla,2013,39619,600,Al día,0,1
P00000128,2025-12-12,2026-12-12,Cobertura amplia,Hyundai Elantra,2018,42914,600,Al día,0,0
P00000129,2020-01-03,2021-01-02,Cobertura total,Toyota Corolla,2012,44342,600,Al día,0,1
P00000130,2023-08-20,2024-08-19,Responsabilidad civil,Toyota Corolla,2011,27799,600,Vencido,1,0
P00000131,2025-06-24,2026-06-24,Cobertura de colisión,Toyota Corolla,2016,45304,600,Al día,0,0
P00000132,2020-03-20,2021-03-20,Cobertura de colisión,Hyundai Elantra,2022,20057,600,Vencido,1,0
P00000133,2021-04-03,2022-04-03,Cobertura de robo,Toyota Corolla,2011,41978,700,Vencido,0,0
P00000134,2024-01-26,2025-01-25,Responsabilidad civil,Ford Focus,2021,13560,600,Vencido,1,0
P00000135,2023-06-13,2024-06-12,Cobertura total,Volkswagen Jetta,2010,48210,700,Vencido,1,0
P00000136,2022-09-07,2023-09-07,Cobertura amplia,Volkswagen Jetta,2013,11924,600,Al día,1,0
P00000137,2020-08-25,2021-08-25,Cobertura de robo,Subaru Impreza,2013,23642,500,Vencido,0,0
P00000138,2022-09-13,2023-09-13,Cobertura total,Honda Civic,2020,36750,600,Vencido,0,1
P00000139,2020-11-18,2021-11-18,Cobertura de colisión,Chevrolet Cruze,2018,38283,700,Vencido,0,0
P00000140,2020-12-16,2021-12-16,Responsabilidad civil,Ford Focus,2016,35742,500,Al día,0,1
P00000141,2025-06-13,2026-06-13,Cobertura de robo,Honda Civic,2014,23717,700,Al día,1,0
P00000142,2020-10-10,2021-10-10,Cobertura de robo,Toyota Corolla,2022,48196,600,Vencido,1,0
P00000143,2025-12-21,2026-12-21,Cobertura de robo,Nissan Sentra,2022,23134,500,Vencido,0,1
P00000144,2021-05-30,2022-05-30,Responsabilidad civil,Hyundai Elantra,2017,34071,600,Al día,1,0
P00000145,2021-06-09,2022-06-09,Cobertura de colisión,Toyota Corolla,2015,24604,700,Al día,0,1
P00000146,2025-04-30,2026-04-30,Cobertura de robo,Nissan Sentra,2020,14210,700,Al día,1,0
P00000147,2021-11-07,2022-11-07,Cobertura amplia,Mazda 3,2014,17686,600,Vencido,1,0
P00000148,2022-12-21,2023-12-21,Responsabilidad civil,Kia Forte,2020,24868,700,Vencido,0,0
P00000149,2025-12-01,2026-12-01,Cobertura total,Chevrolet Cruze,2022,22316,700,Al día,0,0
P00000150,2024-09-29,2025-09-29,Cobertura de robo,Chevrolet Cruze,2011,46980,600,Vencido,0,1
P00000151,2022-05-17,2023-05-17,Cobertura total,Chevrolet Cruze,2012,21392,700,Al día,1,1
P00000152,2022-04-03,2023-04-03,Cobertura de colisión,Honda Civic,2017,47415,700,Al día,1,0
P00000153,2023-06-30,2024-06-29,Cobertura total,Toyota Corolla,2010,11628,600,Al día,0,0
P00000154,2024-06-22,2025-06-22,Cobertura amplia,Subaru Impreza,2020,41377,600,Al día,0,1
P00000155,2024-03-09,2025-03-09,Responsabilidad civil,Ford Focus,2013,47205,700,Al día,0,0
P00000156,2024-11-29,2025-11-29,Cobertura de colisión,Ford Focus,2017,47025,600,Vencido,1,0
P00000157,2025-10-20,2026-10-20,Responsabilidad civil,Toyota Corolla,2019,40648,700,Vencido,1,0
P00000158,2025-01-23,2026-01-23,Cobertura de colisión,Mazda 3,2022,37138,700,Al día,1,1
P00000159,2021-05-10,2022-05-10,Cobertura total,Toyota Corolla,2012,35417,500,Vencido,1,0
P00000160,2022-10-12,2023-10-12,Cobertura de robo,Nissan Sentra,2018,34977,600,Al día,0,0
P00000161,2022-07-09,2023-07-09,Cobertura amplia,Toyota Corolla,2016,15187,600,Vencido,1,0
P00000162,2020-09-19,2021-09-19,Cobertura de robo,Volkswagen Jetta,2017,44156,600,Al día,1,1
P00000163,2023-10-16,2024-10-15,Cobertura de colisión,Honda Civic,2018,35616,700,Al día,1,1
P00000164,2020-03-27,2021-03-27,Cobertura total,Honda Civic,2012,42702,700,Al día,0,1
P00000165,2022-07-31,2023-07-31,Cobertura total,Toyota Corolla,2021,23994,700,Vencido,1,0
P00000166,2022-06-21,2023-06-21,Cobertura amplia,Mazda 3,2013,19411,500,Al día,0,1
P00000167,2020-01-30,2021-01-29,Responsabilidad civil,Toyota Corolla,2014,21569,600,Al día,0,1
P00000168,2020-10-17,2021-10-17,Cobertura de colisión,Ford Focus,2014,26468,500,Vencido,0,1
P00000169,2020-08-29,2021-08-29,Cobertura amplia,Toyota Corolla,2019,31383,600,Al día,0,0
P00000170,2022-07-26,2023-07-26,Cobertura amplia,Volkswagen Jetta,2010,36799,700,Vencido,1,1
P00000171,2020-10-03,2021-10-03,Cobertura de colisión,Toyota Corolla,2014,39294,600,Vencido,0,0
P00000172,2020-05-08,2021-05-08,Cobertura amplia,Hyundai Elantra,2017,13933,700,Al día,0,1
P00000173,2023-09-15,2024-09-14,Responsabilidad civil,Ford Focus,2019,20076,600,Al día,0,0
P00000174,2020-10-17,2021-10-17,Cobertura amplia,Honda Civic,2015,46046,600,Al día,0,1
P00000175,2025-10-06,2026-10-06,Responsabilidad civil,Chevrolet Cruze,2022,35070,500,Al día,1,1
P00000176,2022-09-01,2023-09-01,Cobertura de colisión,Honda Civic,2018,27099,500,Vencido,0,0
P00000177,2023-02-14,2024-02-14,Cobertura de colisión,Kia Forte,2019,18210,500,Al día,1,0
P00000178,2025-06-11,2026-06-11,Cobertura amplia,Honda Civic,2012,39303,600,Al día,0,1
P00000179,2022-05-27,2023-05-27,Cobertura total,Hyundai Elantra,2013,19080,500,Al día,0,1
P00000180,2021-06-25,2022-06-25,Cobertura de robo,Toyota Corolla,2014,17920,700,Vencido,0,1
P00000181,2025-04-20,2026-04-20,Responsabilidad civil,Subaru Impreza,2022,13718,600,Vencido,1,1
P00000182,2022-09-22,2023-09-22,Responsabilidad civil,Nissan Sentra,2015,13610,500,Al día,1,1
P00000183,2025-04-21,2026-04-21,Responsabilidad civil,Kia Forte,2010,31872,500,Vencido,1,1
P00000184,2024-07-25,2025-07-25,Cobertura de colisión,Kia Forte,2021,43886,500,Vencido,0,1
P00000185,2022-02-18,2023-02-18,Cobertura amplia,Ford Focus,2016,14581,700,Al día,0,0
P00000186,2021-01-21,2022-01-21,Responsabilidad civil,Chevrolet Cruze,2016,41484,500,Al día,1,0
P00000187,2021-02-01,2022-02-01,Cobertura de colisión,Honda Civic,2019,37193,700,Al día,0,0
P00000188,2024-10-31,2025-10-31,Cobertura total,Toyota Corolla,2015,32112,500,Vencido,1,0
P00000189,2023-12-22,2024-12-21,Cobertura de colisión,Toyota Corolla,2015,44790,700,Al día,0,1
P00000190,2024-09-30,2025-09-30,Responsabilidad civil,Hyundai Elantra,2019,41858,500,Vencido,1,1
P00000191,2024-08-10,2025-08-10,Cobertura de robo,Nissan Sentra,2012,15969,500,Al día,0,1
P00000192,2025-03-27,2026-03-27,Cobertura total,Toyota Corolla,2017,20470,700,Al día,1,1
P00000193,2020-08-09,2021-08-09,Cobertura amplia,Honda Civic,2021,27041,600,Al día,0,0
P00000194,2021-02-07,2022-02-07,Responsabilidad civil,Kia Forte,2021,21279,500,Vencido,0,1
P00000195,2020-09-05,2021-09-05,Cobertura total,Toyota Corolla,2022,22513,700,Al día,1,0
P00000196,2024-07-07,2025-07-07,Responsabilidad civil,Subaru Impreza,2015,35359,700,Al día,0,1
P00000197,2023-10-21,2024-10-20,Cobertura de robo,Toyota Corolla,2016,36220,500,Al día,1,0
P00000198,2021-03-23,2022-03-23,Cobertura de robo,Ford Focus,2018,14295,600,Al día,1,0
P00000199,2022-10-15,2023-10-15,Cobertura amplia,Hyundai Elantra,2020,12038,500,Al día,0,0
P00000200,2022-02-23,2023-02-23,Cobertura de colisión,Nissan Sentra,2010,25006,700,Al día,0,0
P00000201,2022-02-18,2023-02-18,Cobertura total,Toyota Corolla,2013,25355,700,Al día,1,0
P00000202,2025-01-11,2026-01-11,Cobertura amplia,Honda Civic,2021,14988,600,Vencido,1,1
P00000203,2021-07-28,2022-07-28,Cobertura amplia,Ford Focus,2014,37594,600,Vencido,1,1
P00000204,2024-09-24,2025-09-24,Cobertura total,Ford Focus,2013,43929,600,Vencido,0,0
P00000205,2022-01-21,2023-01-21,Cobertura de colisión,Kia Forte,2014,34474,700,Vencido,1,0
P00000206,2023-02-14,2024-02-14,Cobertura total,Hyundai Elantra,2011,47084,500,Al día,0,1
P00000207,2025-03-09,2026-03-09,Cobertura de colisión,Toyota Corolla,2021,15645,600,Al día,0,1
P00000208,2022-10-20,2023-10-20,Responsabilidad civil,Mazda 3,2018,18499,600,Al día,0,1
P00000209,2020-11-04,2021-11-04,Cobertura amplia,Nissan Sentra,2013,15644,600,Vencido,0,0
P00000210,2024-12-20,2025-12-20,Cobertura de robo,Toyota Corolla,2013,40786,500,Vencido,0,0
P00000211,2021-02-05,2022-02-05,Responsabilidad civil,Honda Civic,2010,38731,700,Vencido,0,1
P00000212,2020-07-26,2021-07-26,Cobertura amplia,Subaru Impreza,2014,47872,500,Vencido,1,1
P00000213,2020-03-01,2021-03-01,Cobertura total,Toyota Corolla,2018,23619,500,Vencido,1,0
P00000214,2021-01-17,2022-01-17,Responsabilidad civil,Honda Civic,2016,12480,600,Al día,1,0
P00000215,2022-08-26,2023-08-26,Cobertura total,Volkswagen Jetta,2011,15965,700,Al día,1,1
P00000216,2021-11-12,2022-11-12,Cobertura total,Hyundai Elantra,2015,37040,600,Al día,1,0
P00000217,2024-07-22,2025-07-22,Cobertura de colisión,Hyundai Elantra,2011,17643,600,Vencido,1,0
P00000218,2025-06-12,2026-06-12,Cobertura de colisión,Honda Civic,2016,11453,700,Vencido,1,0
P00000219,2025-05-25,2026-05-25,Cobertura de colisión,Kia Forte,2012,22122,500,Al día,1,1
P00000220,2022-05-25,2023-05-25,Cobertura amplia,Volkswagen Jetta,2018,25031,500,Al día,0,0
P00000221,2024-06-30,2025-06-30,Cobertura total,Honda Civic,2010,26051,500,Al día,1,1
P00000222,2020-08-28,2021-08-28,Cobertura total,Volkswagen Jetta,2013,13148,700,Vencido,1,1
P00000223,2021-11-05,2022-11-05,Responsabilidad civil,Kia Forte,2019,38131,600,Vencido,1,1
P00000224,2024-04-01,2025-04-01,Cobertura de robo,Hyundai Elantra,2021,39597,600,Vencido,0,0
P00000225,2020-01-09,2021-01-08,Cobertura amplia,Toyota Corolla,2018,15607,500,Vencido,1,1
P00000226,2024-05-18,2025-05-18,Cobertura total,Honda Civic,2017,32870,700,Vencido,0,0
P00000227,2022-12-22,2023-12-22,Cobertura total,Ford Focus,2015,34226,700,Al día,0,1
P00000228,2025-02-06,2026-02-06,Cobertura amplia,Hyundai Elantra,2014,23806,700,Al día,0,1
P00000229,2023-03-14,2024-03-13,Cobertura de colisión,Hyundai Elantra,2018,34406,500,Vencido,1,0
P00000230,2024-09-28,2025-09-28,Cobertura total,Mazda 3,2014,28440,500,Al día,0,1
P00000231,2025-06-16,2026-06-16,Cobertura amplia,Honda Civic,2016,49527,500,Al día,1,1
P00000232,2021-09-26,2022-09-26,Cobertura de colisión,Toyota Corolla,2021,43306,700,Al día,0,0
P00000233,2022-02-16,2023-02-16,Cobertura total,Nissan Sentra,2015,13615,600,Al día,1,0
P00000234,2023-04-30,2024-04-29,Cobertura total,Volkswagen Jetta,2015,23051,500,Vencido,1,0
P00000235,2022-06-10,2023-06-10,Cobertura total,Nissan Sentra,2018,12206,500,Al día,1,0
P00000236,2020-08-27,2021-08-27,Cobertura de colisión,Chevrolet Cruze,2011,17676,500,Al día,0,0
P00000237,2020-09-06,2021-09-06,Cobertura de colisión,Nissan Sentra,2021,31425,700,Vencido,1,1
P00000238,2023-07-08,2024-07-07,Cobertura de colisión,Nissan Sentra,2022,10185,600,Al día,0,0
P00000239,2020-08-22,2021-08-22,Cobertura de robo,Honda Civic,2022,17637,500,Vencido,0,0
P00000240,2020-07-24,2021-07-24,Responsabilidad civil,Kia Forte,2019,32404,700,Al día,0,1
P00000241,2025-05-06,2026-05-06,Cobertura de robo,Ford Focus,2019,48894,500,Al día,0,0
P00000242,2025-08-21,2026-08-21,Responsabilidad civil,Mazda 3,2018,21802,700,Al día,1,0
P00000243,2025-12-15,2026-12-15,Cobertura total,Toyota Corolla,2012,48217,700,Vencido,1,0
P00000244,2021-10-06,2022-10-06,Cobertura amplia,Ford Focus,2015,19144,600,Al día,0,1
P00000245,2020-08-20,2021-08-20,Cobertura amplia,Toyota Corolla,2018,25648,500,Al día,0,1
P00000246,2025-09-11,2026-09-11,Cobertura de colisión,Subaru Impreza,2017,32110,500,Vencido,1,0
P00000247,2020-11-24,2021-11-24,Cobertura amplia,Nissan Sentra,2018,21840,600,Vencido,1,1
P00000248,2022-01-31,2023-01-31,Cobertura de robo,Hyundai Elantra,2013,15171,600,Vencido,0,0
P00000249,2020-10-07,2021-10-07,Responsabilidad civil,Hyundai Elantra,2018,17693,600,Vencido,0,0
P00000250,2020-10-05,2021-10-05,Cobertura de colisión,Toyota Corolla,2011,14168,700,Al día,0,0
P00000251,2022-08-21,2023-08-21,Cobertura total,Mazda 3,2012,25470,700,Vencido,1,1
P00000252,2024-07-11,2025-07-11,Cobertura de colisión,Volkswagen Jetta,2010,24233,700,Al día,1,1
P00000253,2021-05-06,2022-05-06,Cobertura de robo,Toyota Corolla,2016,43734,700,Al día,0,0
P00000254,2022-10-05,2023-10-05,Cobertura de colisión,Ford Focus,2010,28685,500,Al día,1,0
P00000255,2020-06-11,2021-06-11,Cobertura total,Mazda 3,2014,40753,700,Vencido,0,1
P00000256,2020-12-01,2021-12-01,Cobertura de colisión,Honda Civic,2013,46502,600,Al día,1,0
P00000257,2024-09-13,2025-09-13,Cobertura total,Kia Forte,2012,12056,700,Al día,1,1
P00000258,2025-11-11,2026-11-11,Cobertura de colisión,Honda Civic,2017,33931,500,Vencido,1,1
P00000259,2023-07-19,2024-07-18,Cobertura amplia,Hyundai Elantra,2016,17883,600,Al día,0,0
P00000260,2022-12-04,2023-12-04,Cobertura de colisión,Volkswagen Jetta,2020,11434,600,Vencido,1,0
